Sample Number (10000 samples per second),GAP (),LRERR (),OUTPUT (),LFTSPEED (),RGTSPEED ()
0,136.0,-36.0,5.3,65.0,54.0
1,141.0,-41.0,5.3,65.0,54.0
2,137.0,-37.0,5.3,65.0,54.0
3,140.0,-40.0,5.3,65.0,54.0
4,142.0,-42.0,5.3,65.0,54.0
5,147.0,-47.0,5.3,65.0,54.0
6,146.0,-46.0,5.3,65.0,54.0
7,149.0,-49.0,5.3,65.0,54.0
8,156.0,-56.0,5.3,65.0,54.0
9,157.0,-57.0,5.3,65.0,54.0
10,160.0,-60.0,5.3,65.0,54.0
11,161.0,-61.0,5.3,65.0,54.0
12,160.0,-60.0,5.3,65.0,54.0
13,161.0,-61.0,5.3,65.0,54.0
14,160.0,-60.0,5.3,65.0,54.0
15,161.0,-61.0,5.3,65.0,54.0
16,158.0,-58.0,5.3,65.0,54.0
17,160.0,-60.0,5.3,65.0,54.0
18,155.0,-55.0,5.3,65.0,54.0
19,154.0,-54.0,5.3,65.0,54.0
20,149.0,-49.0,5.3,65.0,54.0
21,147.0,-47.0,5.3,65.0,54.0
22,147.0,-47.0,5.3,65.0,54.0
23,139.0,-39.0,5.3,65.0,54.0
24,136.0,-36.0,5.3,65.0,54.0
25,135.0,-35.0,5.3,65.0,54.0
26,61.0,39.0,-6.4,66.0,53.0
27,52.0,48.0,-6.4,66.0,53.0
28,44.0,56.0,-6.4,66.0,53.0
29,30.0,70.0,-6.4,66.0,53.0
30,19.0,81.0,-6.4,66.0,53.0
31,9.0,91.0,-6.4,66.0,53.0
32,-6.0,106.0,-6.4,66.0,53.0
33,-30.0,130.0,-6.4,66.0,53.0
34,-46.0,146.0,-6.4,66.0,53.0
35,-54.0,154.0,-6.4,66.0,53.0
36,-55.0,155.0,-6.4,66.0,53.0
37,-47.0,147.0,-6.4,66.0,53.0
38,-37.0,137.0,-6.4,66.0,53.0
39,-19.0,119.0,-6.4,66.0,53.0
40,-1.0,101.0,-6.4,66.0,53.0
41,14.0,86.0,-6.4,66.0,53.0
42,29.0,71.0,-6.4,66.0,53.0
43,44.0,56.0,-6.4,66.0,53.0
44,53.0,47.0,-6.4,66.0,53.0
45,69.0,31.0,-6.4,66.0,53.0
46,84.0,16.0,-6.4,66.0,53.0
47,98.0,2.0,-6.4,66.0,53.0
48,111.0,-11.0,-6.4,53.0,66.0
49,120.0,-20.0,-6.4,53.0,66.0
50,131.0,-31.0,-6.4,53.0,66.0
51,139.0,-39.0,-6.4,53.0,66.0
52,148.0,-48.0,-6.4,53.0,66.0
53,155.0,-55.0,-6.4,53.0,66.0
54,156.0,-56.0,11.94,71.0,48.0
55,162.0,-62.0,11.94,71.0,48.0
56,166.0,-66.0,11.94,71.0,48.0
57,166.0,-66.0,11.94,71.0,48.0
58,167.0,-67.0,11.94,71.0,48.0
59,167.0,-67.0,11.94,71.0,48.0
60,169.0,-69.0,11.94,71.0,48.0
61,166.0,-66.0,11.94,71.0,48.0
62,167.0,-67.0,11.94,71.0,48.0
63,166.0,-66.0,11.94,71.0,48.0
64,166.0,-66.0,11.94,71.0,48.0
65,166.0,-66.0,11.94,71.0,48.0
66,165.0,-65.0,11.94,71.0,48.0
67,171.0,-71.0,11.94,71.0,48.0
68,175.0,-75.0,11.94,71.0,48.0
69,174.0,-74.0,11.94,71.0,48.0
70,174.0,-74.0,11.94,71.0,48.0
71,172.0,-72.0,11.94,71.0,48.0
72,169.0,-69.0,11.94,71.0,48.0
